fecha,tipo,precio_eur_kg
2025-01-02,virgen_extra_picual,4.056
2025-01-03,virgen_extra_picual,4.088
2025-01-07,virgen_extra_picual,4.133
2025-01-08,virgen_extra_picual,4.143
2025-01-09,virgen_extra_picual,4.204
2025-01-10,virgen_extra_picual,4.083
2025-01-13,virgen_extra_picual,4.113
2025-01-14,virgen_extra_picual,4.1
2025-01-15,virgen_extra_picual,4.125
2025-01-16,virgen_extra_picual,4.15
2025-01-17,virgen_extra_picual,4.2
2025-01-20,virgen_extra_picual,4.2
2025-01-21,virgen_extra_picual,4.175
2025-01-22,virgen_extra_picual,4.075
2025-01-23,virgen_extra_picual,4.075
2025-01-24,virgen_extra_picual,4.017
2025-01-27,virgen_extra_picual,4.0
2025-01-28,virgen_extra_picual,4.0
2025-01-29,virgen_extra_picual,4.01
2025-01-30,virgen_extra_picual,4.0
2025-01-31,virgen_extra_picual,4.0
2025-02-03,virgen_extra_picual,4.025
2025-02-04,virgen_extra_picual,4.038
2025-02-05,virgen_extra_picual,3.95
2025-02-06,virgen_extra_picual,3.927
2025-02-07,virgen_extra_picual,3.913
2025-02-18,virgen_extra_picual,3.85
2025-02-19,virgen_extra_picual,3.9
2025-02-20,virgen_extra_picual,3.917
2025-02-21,virgen_extra_picual,3.925
2025-02-24,virgen_extra_picual,3.933
2025-02-25,virgen_extra_picual,3.95
2025-02-26,virgen_extra_picual,3.933
2025-02-27,virgen_extra_picual,3.933
2025-03-03,virgen_extra_picual,3.938
2025-03-04,virgen_extra_picual,3.908
2025-03-05,virgen_extra_picual,3.925
2025-03-06,virgen_extra_picual,3.825
2025-03-07,virgen_extra_picual,3.825
2025-03-13,virgen_extra_picual,3.75
2025-03-17,virgen_extra_picual,
2025-03-19,virgen_extra_picual,3.3
2025-03-20,virgen_extra_picual,
2025-03-21,virgen_extra_picual,
2025-03-24,virgen_extra_picual,3.45
2025-03-25,virgen_extra_picual,3.458
2025-03-26,virgen_extra_picual,3.45
2025-03-27,virgen_extra_picual,3.425
2025-03-28,virgen_extra_picual,3.458
2025-03-31,virgen_extra_picual,3.5
2025-04-01,virgen_extra_picual,3.508
2025-04-02,virgen_extra_picual,3.45
2025-04-03,virgen_extra_picual,3.517
2025-04-04,virgen_extra_picual,3.525
2025-04-07,virgen_extra_picual,3.525
2025-04-08,virgen_extra_picual,3.456
2025-04-09,virgen_extra_picual,3.55
2025-04-10,virgen_extra_picual,3.492
2025-04-11,virgen_extra_picual,3.494
2025-04-14,virgen_extra_picual,3.506
2025-04-15,virgen_extra_picual,3.508
2025-04-16,virgen_extra_picual,3.5
2025-04-21,virgen_extra_picual,3.4
2025-04-23,virgen_extra_picual,3.431
2025-04-24,virgen_extra_picual,3.467
2025-04-25,virgen_extra_picual,3.433
2025-05-06,virgen_extra_picual,3.388
2025-05-07,virgen_extra_picual,3.333
2025-05-08,virgen_extra_picual,3.35
2025-05-12,virgen_extra_picual,3.375
2025-05-16,virgen_extra_picual,3.2
2025-05-19,virgen_extra_picual,3.267
2025-05-20,virgen_extra_picual,3.3
2025-05-21,virgen_extra_picual,3.31
2025-05-22,virgen_extra_picual,3.267
2025-05-23,virgen_extra_picual,3.256
2025-05-26,virgen_extra_picual,3.283
2025-05-27,virgen_extra_picual,3.269
2025-05-28,virgen_extra_picual,3.238
2025-05-29,virgen_extra_picual,3.2
2025-05-30,virgen_extra_picual,3.2
2025-06-02,virgen_extra_picual,3.325
2025-06-03,virgen_extra_picual,3.283
2025-06-04,virgen_extra_picual,3.283
2025-06-05,virgen_extra_picual,3.3
2025-06-06,virgen_extra_picual,3.305
2025-06-09,virgen_extra_picual,3.333
2025-06-10,virgen_extra_picual,3.25
2025-06-11,virgen_extra_picual,3.3
2025-06-12,virgen_extra_picual,3.283
2025-06-13,virgen_extra_picual,3.306
2025-06-16,virgen_extra_picual,3.283
2025-06-17,virgen_extra_picual,3.281
2025-06-18,virgen_extra_picual,3.268
2025-06-19,virgen_extra_picual,3.281
2025-06-20,virgen_extra_picual,3.313
2025-06-23,virgen_extra_picual,3.345
2025-06-24,virgen_extra_picual,3.331
2025-06-25,virgen_extra_picual,3.306
2025-06-26,virgen_extra_picual,3.317
2025-06-30,virgen_extra_picual,3.325
2025-07-01,virgen_extra_picual,3.325
2025-07-02,virgen_extra_picual,3.35
2025-07-03,virgen_extra_picual,3.35
2025-07-04,virgen_extra_picual,3.375
2025-07-07,virgen_extra_picual,3.375
2025-07-08,virgen_extra_picual,3.388
2025-07-09,virgen_extra_picual,3.381
2025-07-10,virgen_extra_picual,3.367
2025-07-11,virgen_extra_picual,3.35
2025-07-14,virgen_extra_picual,3.358
2025-07-15,virgen_extra_picual,3.3
2025-07-16,virgen_extra_picual,3.25
2025-07-17,virgen_extra_picual,3.25
2025-07-18,virgen_extra_picual,3.363
2025-07-21,virgen_extra_picual,3.413
2025-07-22,virgen_extra_picual,3.413
2025-07-23,virgen_extra_picual,3.383
2025-07-24,virgen_extra_picual,3.383
2025-07-25,virgen_extra_picual,3.383
2025-07-28,virgen_extra_picual,3.4
2025-07-29,virgen_extra_picual,3.433
2025-07-30,virgen_extra_picual,3.45
2025-07-31,virgen_extra_picual,3.488
2025-08-01,virgen_extra_picual,3.5
2025-08-04,virgen_extra_picual,3.583
2025-08-05,virgen_extra_picual,3.525
2025-08-06,virgen_extra_picual,3.55
2025-08-07,virgen_extra_picual,3.6
2025-08-08,virgen_extra_picual,3.6
2025-08-11,virgen_extra_picual,3.625
2025-08-12,virgen_extra_picual,3.625
2025-08-13,virgen_extra_picual,3.694
2025-08-14,virgen_extra_picual,3.7
2025-08-20,virgen_extra_picual,3.75
2025-08-22,virgen_extra_picual,3.8
2025-08-25,virgen_extra_picual,3.833
2025-08-28,virgen_extra_picual,3.9
2025-01-02,virgen_picual,3.881
2025-01-03,virgen_picual,3.913
2025-01-07,virgen_picual,3.933
2025-01-08,virgen_picual,3.9
2025-01-09,virgen_picual,3.935
2025-01-10,virgen_picual,3.9
2025-01-13,virgen_picual,3.963
2025-01-14,virgen_picual,3.963
2025-01-15,virgen_picual,3.975
2025-01-16,virgen_picual,3.992
2025-01-17,virgen_picual,4.033
2025-01-20,virgen_picual,4.033
2025-01-21,virgen_picual,4.0
2025-01-22,virgen_picual,3.9
2025-01-23,virgen_picual,3.925
2025-01-24,virgen_picual,3.863
2025-01-27,virgen_picual,3.8
2025-01-28,virgen_picual,3.788
2025-01-29,virgen_picual,3.763
2025-01-30,virgen_picual,3.7
2025-01-31,virgen_picual,3.715
2025-02-03,virgen_picual,3.75
2025-02-04,virgen_picual,3.738
2025-02-05,virgen_picual,3.637
2025-02-06,virgen_picual,3.6
2025-02-07,virgen_picual,3.6
2025-02-18,virgen_picual,3.575
2025-02-19,virgen_picual,3.6
2025-02-20,virgen_picual,3.61
2025-02-21,virgen_picual,3.6
2025-02-24,virgen_picual,3.663
2025-02-25,virgen_picual,3.663
2025-02-26,virgen_picual,3.66
2025-02-27,virgen_picual,3.633
